"Sex","Breed","Weight"
"Male","Domestic Long Hair",10.9608
"Female","Domestic Long Hair",11.4153
"Male","Domestic Long Hair",10.7996
"Male","Domestic Long Hair",11.9849
"Female","Domestic Medium Hair",8.1307
"Male","Domestic Long Hair",9.9327
"Male","Domestic Short Hair",8.679
"Female","Domestic Medium Hair",11.2021
"Female","Domestic Short Hair",8.9628
"Female","Domestic Short Hair",9.7138
"Male","Domestic Long Hair",11.6038
"Male","Domestic Long Hair",11.4118
"Male","Domestic Long Hair",12.7666
"Female","Domestic Short Hair",8.3365
"Female","Domestic Long Hair",7.8644
"Male","Domestic Long Hair",10.6106
"Male","Domestic Medium Hair",10.0088
"Female","Domestic Medium Hair",10.4244
"Male","Domestic Short Hair",8.3047
"Female","Domestic Long Hair",10.179
"Female","Domestic Short Hair",7.5638
"Female","Domestic Medium Hair",9.6797
"Female","Domestic Medium Hair",9.5648
"Female","Domestic Short Hair",9.0615
"Male","Domestic Short Hair",9.5227
"Male","Domestic Short Hair",7.7106
"Male","Domestic Long Hair",11.5704
"Male","Domestic Short Hair",6.8099
"Female","Domestic Short Hair",8.2322
"Female","Domestic Long Hair",8.9246
"Female","Domestic Short Hair",6.7781
"Male","Domestic Short Hair",10.3815
"Female","Domestic Long Hair",9.3638
"Male","Domestic Long Hair",11.1394
"Male","Domestic Medium Hair",9.9412
"Male","Domestic Short Hair",9.8449
"Male","Domestic Medium Hair",10.5218
"Female","Domestic Short Hair",9.5443
"Female","Domestic Long Hair",9.7359
"Female","Domestic Short Hair",7.7158
"Female","Domestic Long Hair",9.6119
"Female","Domestic Long Hair",10.193
"Male","Domestic Medium Hair",9.7284
"Female","Domestic Medium Hair",9.6693
"Male","Domestic Short Hair",8.8373
"Female","Domestic Long Hair",8.8215
"Female","Domestic Medium Hair",10.6719
"Female","Domestic Medium Hair",11.7762
"Female","Domestic Long Hair",8.4645
"Male","Domestic Short Hair",7.7989
"Male","Domestic Short Hair",8.9529
"Male","Domestic Short Hair",7.8707
"Female","Domestic Short Hair",8.1288
"Female","Domestic Medium Hair",8.692
"Female","Domestic Short Hair",7.1518
"Female","Domestic Long Hair",10.025
"Female","Domestic Long Hair",9.4027
"Female","Domestic Medium Hair",9.569
"Male","Domestic Long Hair",10.9945
"Male","Domestic Medium Hair",10.711
"Female","Domestic Short Hair",8.7681
"Female","Domestic Short Hair",9.3907
"Male","Domestic Long Hair",10.2104
"Female","Domestic Long Hair",10.0197
"Male","Domestic Long Hair",11.0167
"Female","Domestic Short Hair",6.0553
"Female","Domestic Medium Hair",9.9775
"Male","Domestic Long Hair",11.7493
"Male","Domestic Short Hair",9.4367
"Male","Domestic Short Hair",9.6232
"Female","Domestic Short Hair",8.5083
"Male","Domestic Long Hair",12.1043
"Male","Domestic Short Hair",10.0565
"Male","Domestic Short Hair",7.8431
"Male","Domestic Short Hair",6.4238
"Female","Domestic Short Hair",8.4002
"Female","Domestic Medium Hair",7.3891
"Female","Domestic Short Hair",7.5616
"Female","Domestic Medium Hair",9.0092
"Male","Domestic Short Hair",8.528
"Male","Domestic Short Hair",8.3323
"Male","Domestic Long Hair",9.9959
"Female","Domestic Long Hair",12.4386
"Male","Domestic Medium Hair",10.2106
"Female","Domestic Medium Hair",9.6269
"Female","Domestic Long Hair",11.771
"Male","Domestic Short Hair",8.671
"Female","Domestic Short Hair",8.3966
"Male","Domestic Short Hair",8.2359
"Female","Domestic Medium Hair",10.021
"Male","Domestic Short Hair",9.4337
"Female","Domestic Long Hair",10.8391
"Female","Domestic Long Hair",9.6149
"Male","Domestic Medium Hair",10.1103
"Male","Domestic Medium Hair",10.604
"Female","Domestic Long Hair",9.8306
"Female","Domestic Short Hair",7.7901
"Female","Domestic Long Hair",10.878
"Female","Domestic Medium Hair",8.5977
"Female","Domestic Short Hair",9.3872
"Female","Domestic Short Hair",10.0255
"Male","Domestic Long Hair",11.1059
"Female","Domestic Medium Hair",7.9195
"Female","Domestic Medium Hair",9.5675
"Male","Domestic Short Hair",9.5511
"Female","Domestic Medium Hair",9.2667
"Male","Domestic Short Hair",8.5238
"Female","Domestic Short Hair",8.5988
"Female","Domestic Long Hair",10.0286
"Male","Domestic Medium Hair",11.1928
"Male","Domestic Short Hair",11.4113
"Male","Domestic Short Hair",9.9847
"Female","Domestic Short Hair",11.207
"Female","Domestic Medium Hair",7.9348
"Male","Domestic Long Hair",10.8345
"Female","Domestic Short Hair",5.278
"Female","Domestic Short Hair",8.6184
"Male","Domestic Short Hair",7.1099
"Male","Domestic Short Hair",11.8279
"Male","Domestic Short Hair",10.7152
"Male","Domestic Long Hair",10.5755
"Female","Domestic Short Hair",9.3454
"Male","Domestic Long Hair",10.6092
"Female","Domestic Long Hair",10.4993
"Male","Domestic Short Hair",9.5779
"Female","Domestic Medium Hair",9.4828
"Male","Domestic Medium Hair",11.3894
"Female","Domestic Long Hair",10.8095
"Female","Domestic Short Hair",7.2945
"Female","Domestic Long Hair",8.7426
"Male","Domestic Medium Hair",11.4763
"Female","Domestic Medium Hair",9.1026
"Male","Domestic Medium Hair",9.3282
"Female","Domestic Short Hair",9.3901
"Female","Domestic Short Hair",8.2315
"Female","Domestic Medium Hair",9.2469
"Male","Domestic Short Hair",9.6128
"Female","Domestic Medium Hair",8.562
"Female","Domestic Medium Hair",9.7899
"Male","Domestic Short Hair",9.152
"Female","Domestic Medium Hair",8.6282
"Male","Domestic Medium Hair",11.9492
"Female","Domestic Long Hair",10.4591
"Female","Domestic Long Hair",10.4338
"Male","Domestic Short Hair",8.3558
"Female","Domestic Medium Hair",9.6863
"Male","Domestic Long Hair",9.5881
"Male","Domestic Medium Hair",11.3506
"Female","Domestic Long Hair",9.8766
"Female","Domestic Medium Hair",8.9492
"Male","Domestic Short Hair",8.5661
"Male","Domestic Short Hair",9.4104
"Male","Domestic Medium Hair",11.3378
"Female","Domestic Medium Hair",11.4168
"Female","Domestic Medium Hair",10.5359
"Female","Domestic Medium Hair",10.0446
"Female","Domestic Medium Hair",9.2254
"Male","Domestic Medium Hair",9.6001
"Male","Domestic Long Hair",13.0384
"Female","Domestic Long Hair",10.3606
"Female","Domestic Short Hair",7.1228
"Female","Domestic Long Hair",9.7751
"Female","Domestic Medium Hair",9.8609
"Female","Domestic Long Hair",9.661
"Male","Domestic Medium Hair",10.9341
"Male","Domestic Long Hair",12.3596
"Male","Domestic Long Hair",11.1905
"Female","Domestic Medium Hair",9.7684
"Female","Domestic Short Hair",10.0298
"Female","Domestic Long Hair",8.3805
"Male","Domestic Medium Hair",10.5414
"Female","Domestic Short Hair",6.8642
"Female","Domestic Medium Hair",9.4662
"Female","Domestic Medium Hair",8.5758
"Female","Domestic Long Hair",8.2644
"Female","Domestic Short Hair",6.1895
"Male","Domestic Short Hair",9.8751
"Female","Domestic Short Hair",7.6112
"Male","Domestic Medium Hair",12.4121
"Male","Domestic Long Hair",10.6534
"Male","Domestic Short Hair",8.2856
"Male","Domestic Medium Hair",10.1001
"Female","Domestic Short Hair",9.4151
"Male","Domestic Long Hair",11.1657
"Female","Domestic Short Hair",8.6614
"Male","Domestic Medium Hair",10.7413
"Female","Domestic Long Hair",9.0619
"Male","Domestic Short Hair",10.1086
"Male","Domestic Long Hair",10.4255
"Male","Domestic Long Hair",11.8372
"Female","Domestic Long Hair",10.8937
"Female","Domestic Long Hair",9.3722
"Female","Domestic Short Hair",7.9827
"Male","Domestic Short Hair",8.446
"Female","Domestic Long Hair",10.001
"Male","Domestic Long Hair",10.8959
"Male","Domestic Long Hair",12.0099
"Female","Domestic Medium Hair",8.7667
"Female","Domestic Medium Hair",11.4916
"Female","Domestic Long Hair",9.422
"Male","Domestic Long Hair",11.3093
"Female","Domestic Long Hair",9.2625
"Male","Domestic Short Hair",9.6509
"Female","Domestic Long Hair",9.675
"Female","Domestic Medium Hair",9.6754
"Female","Domestic Medium Hair",9.5572
"Male","Domestic Medium Hair",10.6639
"Female","Domestic Short Hair",9.3766
"Male","Domestic Medium Hair",9.763
"Male","Domestic Long Hair",10.9291
"Male","Domestic Long Hair",10.9706
"Male","Domestic Medium Hair",10.1174
"Male","Domestic Medium Hair",11.1216
"Female","Domestic Long Hair",10.0196
"Male","Domestic Short Hair",8.5867
"Female","Domestic Medium Hair",10.4948
"Female","Domestic Short Hair",9.1028
"Male","Domestic Long Hair",11.8452
"Female","Domestic Long Hair",10.5026
"Female","Domestic Long Hair",9.0001
"Male","Domestic Medium Hair",9.032
"Female","Domestic Medium Hair",8.0442
"Male","Domestic Long Hair",10.5457
"Male","Domestic Medium Hair",11.5061
"Female","Domestic Medium Hair",9.5925
"Female","Domestic Medium Hair",10.4333
"Female","Domestic Medium Hair",8.1071
"Female","Domestic Long Hair",8.11
"Female","Domestic Long Hair",10.1759
"Male","Domestic Medium Hair",9.3549
"Female","Domestic Short Hair",7.8611
"Male","Domestic Short Hair",9.795
"Female","Domestic Short Hair",9.603
"Male","Domestic Long Hair",9.6205
"Female","Domestic Medium Hair",9.201
"Female","Domestic Medium Hair",9.1796
"Male","Domestic Long Hair",11.6311
"Female","Domestic Long Hair",10.6255
"Female","Domestic Short Hair",9.6621
"Male","Domestic Short Hair",9.3678
"Male","Domestic Long Hair",9.8706
"Female","Domestic Medium Hair",9.2982
"Female","Domestic Medium Hair",9.5027
"Male","Domestic Long Hair",11.682
"Female","Domestic Medium Hair",10.8138
"Male","Domestic Long Hair",10.3188
"Female","Domestic Short Hair",9.8809
"Female","Domestic Long Hair",11.191
"Female","Domestic Short Hair",9.647
"Female","Domestic Medium Hair",8.855
"Male","Domestic Short Hair",9.0914
"Female","Domestic Long Hair",9.0862
"Male","Domestic Short Hair",9.2471
"Male","Domestic Medium Hair",12.2806
"Male","Domestic Short Hair",6.7052
"Female","Domestic Long Hair",9.836
"Female","Domestic Short Hair",8.5166
"Female","Domestic Short Hair",8.3102
"Male","Domestic Long Hair",11.8499
"Male","Domestic Long Hair",11.9259
"Female","Domestic Short Hair",9.1656
"Male","Domestic Long Hair",10.7896
"Male","Domestic Long Hair",9.6916
"Female","Domestic Long Hair",8.9617
"Female","Domestic Short Hair",7.722
"Female","Domestic Long Hair",9.3206
"Male","Domestic Long Hair",8.8365
"Male","Domestic Short Hair",9.9531
"Female","Domestic Long Hair",9.3155
"Male","Domestic Long Hair",11.534
"Male","Domestic Long Hair",11.4861
"Male","Domestic Medium Hair",10.1828
"Male","Domestic Medium Hair",10.1226
"Female","Domestic Medium Hair",8.5552
"Male","Domestic Long Hair",11.0076
"Female","Domestic Short Hair",7.8775
"Male","Domestic Long Hair",11.5518
"Female","Domestic Medium Hair",10.7288
"Male","Domestic Short Hair",9.2568
"Female","Domestic Long Hair",8.6415
"Female","Domestic Short Hair",9.1141
"Male","Domestic Long Hair",10.1618
"Female","Domestic Long Hair",10.9457
"Female","Domestic Short Hair",9.3071
"Female","Domestic Short Hair",7.8649
"Female","Domestic Long Hair",9.912
"Female","Domestic Long Hair",9.0857
"Male","Domestic Short Hair",8.4168
"Female","Domestic Long Hair",8.1809
"Female","Domestic Medium Hair",9.1657
"Female","Domestic Long Hair",11.0666
"Female","Domestic Medium Hair",10.0733
"Male","Domestic Short Hair",7.8827
"Male","Domestic Short Hair",8.608
"Female","Domestic Medium Hair",11.0449
"Male","Domestic Long Hair",12.1051
"Male","Domestic Long Hair",12.4934
"Male","Domestic Short Hair",7.0943
"Male","Domestic Long Hair",10.5734
"Female","Domestic Long Hair",9.557
"Female","Domestic Long Hair",9.8663
"Male","Domestic Short Hair",8.5961
"Female","Domestic Long Hair",10.6788
"Male","Domestic Short Hair",9.3705
"Female","Domestic Long Hair",10.008
"Male","Domestic Medium Hair",10.9502
"Female","Domestic Long Hair",9.286
"Female","Domestic Long Hair",8.6973
"Male","Domestic Medium Hair",10.2931
"Female","Domestic Long Hair",7.9619
"Male","Domestic Short Hair",8.5793
"Female","Domestic Long Hair",9.2539
"Male","Domestic Long Hair",10.8797
"Female","Domestic Short Hair",8.3024
"Male","Domestic Long Hair",12.1551
"Male","Domestic Medium Hair",8.7848
"Male","Domestic Short Hair",9.5543
"Female","Domestic Short Hair",8.7738
"Male","Domestic Long Hair",12.294
"Female","Domestic Medium Hair",11.3065
"Female","Domestic Long Hair",11.5115
"Male","Domestic Short Hair",10.1182
"Female","Domestic Long Hair",8.7426
"Male","Domestic Medium Hair",9.3528
"Female","Domestic Medium Hair",8.7821
"Female","Domestic Long Hair",10.0652
"Female","Domestic Medium Hair",9.0105
"Female","Domestic Medium Hair",9.8312
"Female","Domestic Short Hair",10.1529
"Female","Domestic Short Hair",9.7384
"Female","Domestic Long Hair",10.3189
"Female","Domestic Medium Hair",8.4502
"Female","Domestic Long Hair",10.7456
"Male","Domestic Medium Hair",9.4476
"Male","Domestic Medium Hair",10.8564
"Female","Domestic Short Hair",7.108
"Female","Domestic Medium Hair",8.2885
"Female","Domestic Medium Hair",8.7248
"Female","Domestic Medium Hair",10.9453
"Female","Domestic Long Hair",10.3561
"Female","Domestic Short Hair",10.2432
"Male","Domestic Medium Hair",8.3646
"Male","Domestic Short Hair",9.9445
"Male","Domestic Short Hair",10.3405
"Female","Domestic Long Hair",10.7133
"Male","Domestic Short Hair",9.4174
"Female","Domestic Medium Hair",9.0927
"Female","Domestic Long Hair",10.3428
"Male","Domestic Medium Hair",10.1863
"Female","Domestic Short Hair",7.5984
"Female","Domestic Medium Hair",10.3258
"Female","Domestic Medium Hair",10.1504
"Female","Domestic Short Hair",10.0547
"Female","Domestic Medium Hair",11.3342
"Female","Domestic Medium Hair",10.15
"Female","Domestic Long Hair",10.2045
"Female","Domestic Medium Hair",8.2687
"Female","Domestic Medium Hair",10.1916
"Male","Domestic Medium Hair",10.921
"Male","Domestic Medium Hair",9.3526
"Female","Domestic Medium Hair",11.0864
"Female","Domestic Short Hair",7.4483
"Male","Domestic Short Hair",9.1923
"Female","Domestic Short Hair",8.4606
"Female","Domestic Medium Hair",10.5337
"Female","Domestic Short Hair",8.411
"Male","Domestic Short Hair",10.7856
"Female","Domestic Medium Hair",9.6941
"Female","Domestic Short Hair",9.0805
"Female","Domestic Short Hair",10.073
"Female","Domestic Short Hair",8.9276
"Male","Domestic Medium Hair",10.8603
"Female","Domestic Medium Hair",8.2636
"Female","Domestic Short Hair",9.7435
"Male","Domestic Short Hair",9.088
"Female","Domestic Long Hair",8.6496
"Female","Domestic Long Hair",10.4768
"Female","Domestic Short Hair",9.3144
"Female","Domestic Short Hair",9.8293
"Male","Domestic Short Hair",8.1652
"Female","Domestic Short Hair",9.2461
