"ppm","num_bedrooms","dist_to_highway","dist_to_town_cent"
1.211,1,2.5,3.03715139479881
7.436,4,3.13,2.74144498666194
6.246,2,2.92,3.34439414089391
7.511,3,3.89,3.14935523017428
3.963,3,3.12,3.94046373354673
7.777,1,3.32,0.782098080769043
8.974,4,2.42,1.20644124370376
5.883,2,3.71,4.6921068899601
6.14,3,2.17,1.32750385320312
9.179,4,2.64,1.26280716078176
4.783,3,3.09,2.97336514293025
5.507,2,3.1,3.06580442226905
1.843,0,2.8,1.53767656386963
5.38,2,3.74,2.58059529942661
7.092,3,3.12,3.57684701330698
4.121,2,2.97,2.39307764466499
4.31,3,2.61,2.93078046372679
6.224,3,3.51,4.33394384090484
3.107,2,2.09,2.23225793774969
8.401,2,5.31,3.55319466833745
7.656,2,2.56,1.29134210025853
10.994,4,3.76,2.4732718973881
3.219,2,3.26,5.06376423359093
8.136,4,3.77,3.42372825951993
3.017,2,2.19,4.00855572784296
2.114,1,2.56,4.36114179574455
5.819,3,2.28,2.89404513667952
7.06,3,3.23,3.0415006952291
1.327,2,1.84,4.11989771848809
1.01,1,3.25,3.23916286972173
5.329,2,2.91,1.9609160637919
5.204,1,4.76,2.50824429121725
5.141,2,2.86,3.38418962487441
7.666,4,2.89,2.85252773463826
6.454,3,2.31,2.34952482108254
4.784,2,2.78,3.05630389397963
2.153,1,3.18,2.75339877648195
7.559,4,3.42,4.23622156352818
10.01,4,4.07,2.82167310331194
5.012,2,3.97,4.23646957937443
5.997,3,2.9,1.91783316866472
6.843,1,4.4,2.50580979929054
1.851,2,1.22,1.28888696557356
8.372,3,3.62,3.0400580483971
6.872,3,2.48,2.4388565163154
8.722,2,4.32,0.442637942379291
11.027,5,2.64,2.30322118935867
8.203,2,4.32,1.55371254496936
5.112,3,3.04,3.31585576177329
4.441,3,1.12,2.65725248608434
8.967,4,2.55,1.06864690056427
1.01,2,1.26,3.2428210042642
6.341,3,3.18,2.63723205117105
4.781,3,4.9,5.43272890031743
1.01,2,0.73,3.59209119077248
6.093,2,3.98,2.42379923177248
1.851,1,1.6,3.40662824016858
5.802,2,4.82,2.95474536550878
9.232,4,4.38,3.4409000245021
4.203,4,2.16,5.23537620196202
5.757,3,2.74,2.41384515602187
3.051,2,2.93,3.59936024931904
4.898,3,2.62,4.27423314654812
9.757,2,5.58,2.08822884579807
7.814,3,3.13,1.6245409433511
6.987,4,2.29,2.71227313661124
7.022,2,3.64,3.08148341060439
3.949,1,3.2,3.33789531393896
3.482,2,2.93,3.56613753891865
5.151,2,2.91,2.0657770656473
3.174,2,3.45,4.72676981387395
1.054,1,1.94,4.58831492647447
1.01,0,1.84,1.96255339214157
7.014,3,4.65,3.36950741973645
1.01,1,0.94,3.4386581200856
4.864,1,3.01,2.12200395757896
5.788,4,1.91,3.76091762834491
5.886,2,3.27,3.06428198453721
0.881,0,4.01,5.29847904217297
5.458,5,0.93,1.70002201893296
8.789,3,3.9,1.92036276867706
5.541,3,2.95,4.48832346555083
4.921,3,1.65,2.76923636794292
3.257,4,1.07,3.66507385069932
6.017,1,3.71,1.83968291275268
6.001,3,2.84,4.08154085631275
9.411,4,3.22,3.42421189585585
10.739,5,3.82,3.77605632604214
7.935,2,4.73,2.27721128205259
3.276,1,2.9,3.50907541044417
6.338,3,2.44,3.1546149746384
10.317,4,4.43,3.30924723934512
6.505,4,2.11,3.31651369303221
3.059,2,1.84,3.70767989596264
2.557,2,2.47,2.53756467421506
9.221,4,5.45,4.69830274705661
6.025,2,2.17,2.13801443862712
8.368,3,3.41,1.94817035634994
4.513,4,1.82,3.5315186188611
1.01,0,1.83,3.07728399345509
4.008,2,2.67,1.97515891220627
8.046,2,4.36,3.14415928902883
2.264,2,2.53,2.77910376983582
10.041,3,3.84,2.02266850447736
3.577,4,1.54,3.33528023102327
2.337,1,2.6,4.58736662168407
4.305,2,2.22,4.26982587399556
4.507,4,2.63,5.88733301028683
8.825,4,4.24,3.68323891416978
6.204,3,2.89,2.32302391248521
6.295,2,3.17,2.83612956675377
2.718,0,3.25,3.70961161253956
6.097,3,2.39,1.94633086148658
2.312,2,1.57,2.04377149797207
3.124,0,2.67,2.05481262578423
6.1,3,3.13,3.22478844734534
4.09,1,4.02,3.35945517437962
5.019,2,2.74,2.33628957531968
8.209,5,2.7,2.8734918196394
3.837,1,4.62,4.64237424330845
8.444,3,2.23,2.49290151848812
5.15,1,3.42,2.48151295566148
4.821,4,2.42,4.34365300461022
10.043,5,3.42,3.08748701597367
2.003,3,1.45,3.53767273698554
2.431,3,2.48,4.49218637618764
2.312,2,2.72,3.87679268705494
4.862,2,4.01,3.49588523790585
0.774,0,2.53,2.75264608008098
5.349,3,3.3,2.27122239132456
4.724,3,2.58,3.87419356303528
6.185,3,2.15,2.23939696034178
6.419,2,3.69,3.40291953906706
5.984,4,2.54,2.46825801926669
9.591,4,4.35,3.00001193348443
9.404,5,3.44,3.81817838149496
4.186,2,2.85,3.26911921014517
6.694,4,3.46,2.61199885821329
10.107,4,2.96,2.67524149034543
5.822,3,3.46,4.68000872905028
8.231,3,2.59,0.119264441593371
1.281,3,0.86,3.62213811106563
8.913,3,3.16,0.796447667798394
5.964,1,3.66,2.72730822966925
5.623,2,2.02,2.07788046095077
4.819,3,1.89,2.69371733025646
1.01,0,2.56,5.5365592399809
3.391,3,2.48,4.93423813758807
5.463,3,3.42,2.98741636384949
6.784,2,3.13,1.74811490348463
7.031,3,4.03,3.7747961628784
2.19,0,4.65,3.80388996324477
6.701,1,2.98,1.50123764754116
3.299,2,2.98,3.58585549099404
4.809,2,3.25,2.15934353762024
5.368,3,2.66,2.22601565418777
5.015,2,2.89,1.79144911070001
7.59,4,2.9,3.01882438161088
7.537,3,3.26,1.63266779457124
8.241,2,3.14,1.0098910780596
5.051,2,2.76,0.84380486811342
7.276,3,3.06,3.0671755801302
3.126,2,2.82,3.86025354811202
7.346,3,3.79,2.21671159613391
2.557,1,3.01,2.44381952997185
4.296,3,2.37,3.70695072140494
6.036,4,2.75,3.19156791373341
0.894,2,2.31,4.63967806039717
6.227,2,3.2,2.82446301870847
9.437,3,3.85,2.63753190184428
2.655,2,3.63,5.16158204330965
7.739,4,3.2,2.86992714616823
5.935,3,2.91,1.68702890858118
4.082,2,3.29,3.65975718670579
4.763,2,2.95,3.09180321405245
1.135,2,0.96,3.4480723027599
4.241,2,3.36,3.54408358961439
1.01,1,2.63,4.62077741312665
8.229,4,4.27,4.32129102724655
4.425,1,5.17,2.90215827591003
4.469,4,1.76,3.38423353876926
6.9,3,3.59,3.77504187525403
2.029,1,3.12,3.40644812926924
1.01,1,2.48,2.97321686611552
2.528,2,3.62,4.34105965354093
9.347,4,3.71,3.74490926583549
9.678,4,2.91,2.55333111429008
1.462,1,2.7,2.26316965381278
2.78,1,1.91,2.14942659064657
4.548,2,2.38,1.65992589180385
1.412,1,2.77,3.65827785258889
3.59,1,2.75,2.64364506362791
4.903,1,3.95,3.04944173637386
6.335,3,2.73,1.91465885828496
5.139,1,4.9,3.03665284975471
7.677,3,2.57,0.376398021311946
6.95,1,4.58,0.852687152124742
2.135,2,3.16,4.09248362628828
5.737,2,1.91,1.31565767399458
6.101,3,3.58,2.49355458231845
8.16,4,3.03,1.7099984452312
