"AREA","PERIMETER","MAJOR_AXIS","MINOR_AXIS","ECCENTRICITY","EQDIASQ","SOLIDITY","CONVEX_AREA","EXTENT","ASPECT_RATIO","ROUNDNESS","COMPACTNESS","SHAPEFACTOR_1","SHAPEFACTOR_2","SHAPEFACTOR_3","SHAPEFACTOR_4","MeanRR","MeanRG","MeanRB","StdDevRR","StdDevRG","StdDevRB","SkewRR","SkewRG","SkewRB","KurtosisRR","KurtosisRG","KurtosisRB","EntropyRR","EntropyRG","EntropyRB","ALLdaub4RR","ALLdaub4RG","ALLdaub4RB","Class"
138167,1370.208,498.7525,353.9258,0.7046,419.4278,0.9925,139208,0.7316,1.4092,0.9248,0.841,0.0036,0.0026,0.7072,0.9966,86.1304,84.2102,90.5056,27.5093,25.6148,25.0531,0.2752,0.9259,0.2228,2.5951,3.7693,2.8701,-10381501440,-9775930368,-11240395776,43.0708,42.113,45.2595,"SUKKARI"
138362,1411.187,525.3536,336.471,0.768,419.7237,0.9836,140663,0.7797,1.5614,0.8731,0.7989,0.0038,0.0024,0.6383,0.9966,130.172,130.8726,124.2082,28.9102,22.0417,23.7706,-0.9599,-0.7619,-0.2867,3.6927,3.7615,2.4843,-24282138624,-23951843328,-21570297856,65.0882,65.4412,62.1085,"SUKKARI"
160562,1514.448,570.1646,359.911,0.7756,452.1436,0.9913,161971,0.7854,1.5842,0.8797,0.793,0.0036,0.0022,0.6289,0.9962,129.5311,135.3102,117.0099,32.4974,25.1719,25.2575,-0.8754,-0.7441,-0.4138,3.1097,2.8883,2.3741,-28332498944,-30146041856,-22212888576,64.7667,67.6564,58.508,"SUKKARI"
208042,1725.811,649.4158,411.8994,0.7731,514.6721,0.9918,209753,0.7331,1.5766,0.8778,0.7925,0.0031,0.002,0.6281,0.9903,104.7724,93.1733,87.2115,34.2646,31.6825,27.3743,0.0072,0.2815,0.3013,2.206,2.2021,2.7079,-24241860608,-18904291328,-16004977664,52.385,46.588,43.6055,"SUKKARI"
143391,1416.606,544.4253,335.9414,0.7869,427.2834,0.9943,144211,0.7796,1.6206,0.8979,0.7848,0.0038,0.0023,0.616,0.9982,115.5527,113.3419,104.9527,29.2429,24.5778,28.5005,-0.8439,-0.4278,-0.3397,3.1254,2.5324,2.2916,-19697719296,-18499430400,-16122652672,57.7764,56.6723,52.478,"SUKKARI"
209723,1749.959,686.3148,390.2822,0.8226,516.7471,0.9928,211245,0.7799,1.7585,0.8606,0.7529,0.0033,0.0019,0.5669,0.9969,107.8277,99.3501,102.2511,25.6328,21.3737,20.7585,-0.1665,0.1273,0.2413,2.5744,3.5299,3.3889,-24522039296,-20206684160,-21401454592,53.9109,49.6773,51.1261,"SUKKARI"
156476,1502.326,565.1384,353.8776,0.7797,446.3535,0.9882,158340,0.7827,1.597,0.8712,0.7898,0.0036,0.0023,0.6238,0.9962,91.509,80.7953,86.1067,22.3634,19.1765,20.149,-0.2782,1.0141,0.8027,3.221,6.9399,5.5131,-12771258368,-9656775680,-11100552192,45.7556,40.4012,43.056,"SUKKARI"
126137,1356.411,507.2314,318.8602,0.7777,400.7526,0.9857,127966,0.785,1.5908,0.8615,0.7901,0.004,0.0025,0.6242,0.993,135.8965,137.6824,122.6962,33.4921,30.3621,29.7397,-1.0604,-1.1007,-0.662,3.6246,4.1726,3.4069,-24667023360,-25022298112,-19657609216,67.9362,68.8379,61.3471,"SUKKARI"
143297,1440.493,559.0104,328.0878,0.8097,427.1433,0.9927,144347,0.8145,1.7038,0.8678,0.7641,0.0039,0.0023,0.5839,0.9948,149.4031,149.5811,124.0181,33.6113,27.8297,27.4547,-1.3671,-1.2109,-0.8987,4.1829,3.9848,3.19,-34094051328,-33536829440,-22595817472,74.7022,74.7908,62.0093,"SUKKARI"
147389,1481.552,570.8041,332.1487,0.8133,433.1992,0.986,149481,0.8497,1.7185,0.8438,0.7589,0.0039,0.0023,0.576,0.9898,119.4123,117.9428,106.9436,29.6726,26.5961,25.3597,-0.1667,0.1775,-0.0293,2.8118,2.7526,2.9183,-21725470720,-20868001792,-16919024640,59.7105,58.9758,53.478,"SUKKARI"
134784,1396.613,512.9982,337.8875,0.7524,414.2612,0.9814,137337,0.7789,1.5183,0.8684,0.8075,0.0038,0.0025,0.6521,0.9901,125.6618,126.8658,107.0576,27.2353,20.4259,26.0747,-0.7563,-0.2656,-0.1187,3.1777,2.7328,2.3465,-21827747840,-21723887616,-15566317568,62.8286,63.4342,53.529,"SUKKARI"
145210,1424.349,535.0179,346.342,0.7622,429.985,0.992,146385,0.7395,1.5448,0.8994,0.8037,0.0037,0.0024,0.6459,0.9978,141.3801,145.6726,132.4278,29.9463,23.0605,23.2314,-1.2651,-1.1469,-0.9656,4.2974,4.0086,3.8986,-30394583040,-31689562112,-25875439616,70.7,72.8413,66.2206,"SUKKARI"
146059,1428.892,518.9333,359.8793,0.7205,431.2402,0.9903,147483,0.7911,1.442,0.899,0.831,0.0036,0.0025,0.6906,0.9958,115.6353,111.8114,104.7724,23.1401,17.3022,20.7685,-1.0761,-0.012,0.0293,4.4927,4.4583,3.5464,-19518910464,-17768634368,-15690675200,57.8142,55.9004,52.3819,"SUKKARI"
166950,1568.7729,578.2525,372.5923,0.7647,461.0503,0.9879,168988,0.8007,1.552,0.8525,0.7973,0.0035,0.0022,0.6357,0.9866,146.5992,141.863,128.0412,33.2731,29.9051,28.3067,-0.9846,-0.5106,-0.3159,3.4109,2.4204,2.5319,-38155313152,-35209359360,-28252712960,73.2989,70.9343,64.0226,"SUKKARI"
150891,1453.5959,532.0154,363.603,0.73,438.3154,0.9888,152606,0.7984,1.4632,0.8974,0.8239,0.0035,0.0024,0.6788,0.9932,92.4581,82.7228,88.3253,28.4877,24.8674,26.3492,0.4303,0.8472,0.8577,2.8504,3.8411,3.6331,-13159569408,-10233899008,-11816067072,46.2239,41.3562,44.1594,"SUKKARI"
106793,1217.454,434.7454,313.3625,0.6931,368.7453,0.9883,108062,0.747,1.3874,0.9054,0.8482,0.0041,0.0029,0.7194,0.9981,109.4719,106.1306,101.5765,35.9257,34.2667,30.1076,-0.0022,0.1193,0.2811,1.8838,1.8167,2.1977,-13722007552,-12767454208,-11370534912,54.7404,53.0704,50.7942,"SUKKARI"
190634,1662.217,625.8346,390.4694,0.7815,492.669,0.9884,192862,0.8131,1.6028,0.867,0.7872,0.0033,0.002,0.6197,0.9933,145.7374,144.5245,127.1269,30.4779,23.2386,21.7898,-1.2773,-0.8654,-0.3841,4.3862,4.0821,3.5399,-42598805504,-40928096256,-30997839872,72.8723,72.2653,63.5672,"SUKKARI"
144637,1422.494,523.191,352.5846,0.7388,429.1358,0.9905,146022,0.7623,1.4839,0.8982,0.8202,0.0036,0.0024,0.6728,0.9983,123.5578,122.1742,114.7809,28.6747,22.563,26.1378,-0.9937,-0.3999,-0.218,3.8348,3.2121,2.6395,-22750343168,-21672732672,-19304228864,61.781,61.092,57.3966,"SUKKARI"
129886,1365.856,519.2155,318.9104,0.7891,406.6645,0.9908,131098,0.6861,1.6281,0.8749,0.7832,0.004,0.0025,0.6134,0.9987,143.482,137.5604,125.512,31.6021,23.369,23.8488,-1.4328,-0.6273,-0.7223,4.6892,3.0388,3.0175,-28202487808,-25110024192,-20702752768,71.7408,68.7822,62.7593,"SUKKARI"
126292,1319.9,488.1225,330.096,0.7367,400.9987,0.9929,127190,0.7113,1.4787,0.911,0.8215,0.0039,0.0026,0.6749,0.998,125.704,122.87,113.3824,33.9782,26.7273,27.5417,-0.8778,-0.4465,-0.4281,3.1088,2.5801,2.5203,-21109915648,-19476973568,-16545778688,62.8528,61.4384,56.6934,"SUKKARI"
136138,1404.201,530.9112,329.2051,0.7845,416.3367,0.988,137796,0.7389,1.6127,0.8676,0.7842,0.0039,0.0024,0.615,0.9917,126.4219,123.5209,102.7053,31.4194,27.0867,27.1844,-0.9306,-0.3889,-0.1801,3.559,2.6093,2.7139,-22737070080,-21262274560,-14530268160,63.2263,61.7684,51.3634,"SUKKARI"
151713,1481.229,582.5072,331.9456,0.8217,439.5077,0.9931,152772,0.687,1.7548,0.8689,0.7545,0.0038,0.0022,0.5693,0.999,92.5289,87.7087,96.5018,22.9716,19.6667,20.7177,0.0765,1.0781,0.2377,3.6487,5.621,4.0334,-12724516864,-11151576064,-13703142400,46.2599,43.8528,48.2507,"SUKKARI"
99342,1151.923,404.4212,313.0898,0.633,355.6489,0.9921,100135,0.7695,1.2917,0.9408,0.8794,0.0041,0.0032,0.7733,0.9989,137.179,131.5521,112.3011,41.505,35.0091,33.0933,-0.6377,-0.1339,0.0521,2.5062,2.0275,2.0885,-20567281664,-18324869120,-13181305856,68.59,65.7764,56.1531,"SUKKARI"
73663,999.363,362.0138,259.5558,0.6971,306.2526,0.994,74107,0.7225,1.3947,0.9269,0.846,0.0049,0.0035,0.7157,0.9982,134.3141,128.0316,108.8569,39.708,32.9921,30.7083,-0.7937,-0.5989,-0.5155,2.681,2.4584,2.4999,-14486233088,-12725932032,-9038320640,67.1605,64.0208,54.4383,"SUKKARI"
143668,1446.12,553.8131,332.1207,0.8002,427.6959,0.9889,145285,0.6735,1.6675,0.8633,0.7723,0.0039,0.0023,0.5964,0.9945,128.553,120.6565,118.803,36.4798,31.1817,28.1015,-0.4365,0.0932,-0.0289,2.632,2.3267,2.8283,-25466613760,-21805602816,-20795639808,64.2773,60.3334,59.4063,"SUKKARI"
63328,933.937,342.7969,235.6772,0.7262,283.9572,0.989,64034,0.7314,1.4545,0.9124,0.8284,0.0054,0.0037,0.6862,0.998,124.5606,118.4637,120.8829,36.5092,28.4547,28.8523,-0.4824,0.1322,0.2138,2.5152,2.3865,2.3229,-10537278464,-9129949184,-9538518016,62.2768,59.2333,60.443,"SUKKARI"
113667,1251.496,462.6203,313.1204,0.7361,380.4278,0.9936,114397,0.7141,1.4775,0.912,0.8223,0.0041,0.0028,0.6762,0.9991,106.0841,102.9813,102.1894,29.5004,25.2654,26.7632,-0.5569,0.0164,0.0122,2.6954,2.5862,2.642,-13137970176,-12061977600,-11979322368,53.042,51.4936,51.0969,"SUKKARI"
148679,1477.3669,565.0262,337.5208,0.802,435.0908,0.9868,150670,0.7216,1.674,0.856,0.77,0.0038,0.0023,0.593,0.9926,126.7722,116.5987,111.2925,29.0442,25.2677,26.9988,-0.8253,-0.5379,-0.2507,3.4986,3.0595,2.6528,-24711442432,-20416264192,-18694287360,63.3922,58.3059,55.6558,"SUKKARI"
153353,1501.488,585.9454,335.2349,0.8202,441.8768,0.9885,155138,0.8264,1.7479,0.8548,0.7541,0.0038,0.0022,0.5687,0.994,126.1267,114.0718,107.9288,32.4403,27.7592,26.2087,-0.7002,-0.1769,-0.1947,3.0101,2.6121,2.898,-25620695040,-20371875840,-18021154816,63.0634,57.0336,53.9624,"SUKKARI"
123912,1294.531,470.6189,335.611,0.701,397.2023,0.9946,124580,0.7447,1.4023,0.9292,0.844,0.0038,0.0027,0.7123,0.9989,157.4652,157.1221,122.8388,35.4495,27.8306,27.6271,-1.6032,-1.3571,-0.8643,5.2858,4.6155,2.9823,-33083486208,-32179709952,-19168829440,78.719,78.5565,61.4135,"SUKKARI"
149845,1467.722,573.7374,333.2054,0.8141,436.7935,0.9918,151080,0.782,1.7219,0.8741,0.7613,0.0038,0.0022,0.5796,0.998,127.3161,121.9014,116.2971,35.7104,30.7762,26.1071,-0.2539,0.1865,0.0545,2.3286,2.1057,2.337,-25953759232,-23181002752,-20554786816,63.6564,60.9527,58.15,"SUKKARI"
144975,1426.858,535.9053,345.1051,0.7651,429.6369,0.9922,146121,0.7083,1.5529,0.8948,0.8017,0.0037,0.0024,0.6427,0.9981,90.1562,85.9035,106.8337,35.7263,31.4692,29.6485,-0.3462,-0.1857,-0.4011,1.9947,2.2828,2.5963,-12801163264,-11223094272,-17017174016,45.0746,42.9508,53.4155,"SUKKARI"
136538,1383.509,503.1316,347.8224,0.7226,416.9479,0.9861,138461,0.7651,1.4465,0.8964,0.8287,0.0037,0.0025,0.6868,0.9934,127.6793,119.391,110.7074,31.319,26.0718,25.0809,-1.0953,-0.495,-0.2246,3.7237,2.7819,2.7547,-23258535936,-19772581888,-16814415872,63.8393,59.6977,55.3544,"SUKKARI"
162525,1520.96,569.8452,363.798,0.7697,454.8992,0.9908,164034,0.7603,1.5664,0.8829,0.7983,0.0035,0.0022,0.6373,0.9982,115.9823,106.6484,105.1739,23.9022,20.0254,24.4108,-0.7826,0.1732,0.1205,3.9956,3.9793,2.9292,-21932597248,-18067736576,-17931122688,57.9908,53.3273,52.5911,"SUKKARI"
129998,1385.066,511.4419,324.9084,0.7723,406.8398,0.9839,132123,0.7914,1.5741,0.8515,0.7955,0.0039,0.0025,0.6328,0.9961,147.9224,147.0918,130.6119,31.3109,28.1133,27.8133,-0.8047,-0.7814,-0.1875,3.1951,3.616,2.5203,-30063687680,-29396901888,-22887102464,73.9641,73.5476,65.3109,"SUKKARI"
151554,1454.797,541.0281,357.0083,0.7514,439.2773,0.9941,152457,0.7711,1.5154,0.8999,0.8119,0.0036,0.0024,0.6592,0.999,120.3432,113.7172,111.5773,30.958,28.3032,28.9196,-0.5568,-0.1291,-0.4224,2.7565,2.0132,2.4708,-22836240384,-20062943232,-19353348096,60.1711,56.8617,55.7905,"SUKKARI"
168314,1634.188,611.652,396.3839,0.7616,462.9298,0.8996,187089,0.7235,1.5431,0.792,0.7569,0.0036,0.0024,0.5728,0.8839,137.4287,132.7355,112.0415,44.1489,38.7483,32.6756,-0.6656,-0.2513,-0.0758,2.5051,2.0314,2.0474,-35449040896,-32200501248,-22167502848,68.7021,66.3655,56.0165,"SUKKARI"
