"heights","weights","r","g","b","type"
16.9949780764947,58.9793467915949,236,236,202,"SM"
17.0013153116533,58.886334933041,238,234,203,"SM"
16.9992108291018,59.7745876783173,234,238,200,"SM"
17.0088678480942,59.0389502412037,236,236,200,"SM"
17.0011697127051,58.7860925059351,236,235,201,"SM"
17.0031863008762,59.1913982728759,239,236,201,"SM"
16.9941820931528,59.0605074774848,236,235,203,"SM"
17.0071453271089,58.9790249155279,238,236,202,"SM"
16.9917474057414,58.9722530373792,236,234,204,"SM"
16.996401378686,59.1346709819334,235,231,205,"SM"
17.0108988614378,54.6806932987938,230,165,205,"LB"
17.0109627446029,54.6512742033573,230,163,201,"LB"
17.0079836604782,55.4945565240113,231,162,206,"LB"
17.0173984049988,54.381371194198,229,162,204,"LB"
17.0112337950109,55.0038249162895,230,162,208,"LB"
17.0097068329077,54.6737414952069,230,163,209,"LB"
17.006111457531,55.0811618479613,231,165,203,"LB"
17.0151085625737,55.3025355619818,230,164,206,"LB"
17.0008618581463,54.3776785737231,230,163,205,"LB"
17.0331029682278,55.2690466815357,230,163,204,"LB"
17.0056191001887,54.9850012699372,230,164,206,"LB"
16.9976406061641,60.596395206867,102,165,112,"GG"
16.9926196129139,60.4206365396951,101,169,113,"GG"
16.9977340459678,61.2128744750431,100,166,112,"GG"
16.9818562087512,60.9526284904251,99,164,108,"GG"
16.9856154943093,61.0649103618126,100,167,115,"GG"
16.9827977844978,61.2452086227326,101,166,116,"GG"
16.9923094453225,61.518152726351,100,165,115,"GG"
16.978422705376,60.968868912261,103,168,111,"GG"
16.9924707599273,60.8328633127527,100,167,112,"GG"
16.9890888643853,61.4284904289629,105,168,110,"GG"
16.9975737562203,51.73211277937,161,182,207,"SSC"
16.9786207038827,51.6527286279782,158,187,206,"SSC"
16.9788880650472,51.8409110635213,157,183,212,"SSC"
16.9730998567943,52.7337048273,161,185,204,"SSC"
16.9777820576998,51.7502512606008,158,185,204,"SSC"
16.9818290768359,52.124055954649,156,183,208,"SSC"
16.9841732328623,51.6463950577826,159,181,212,"SSC"
16.9906540232705,51.6477895724592,159,183,206,"SSC"
16.9897020201734,51.9001229947076,159,183,204,"SSC"
16.9789837076154,52.4089341120768,160,183,206,"SSC"
16.9940320348856,51.8592557981271,158,186,212,"SSC"
16.9622322436771,52.252862689641,160,185,205,"SSC"
17.0262286739099,65.5626018832374,157,121,83,"T"
17.0147771664872,65.8799082239853,157,122,85,"T"
17.0332223095568,65.7670748143991,159,123,87,"T"
17.0163655967316,65.8892110466097,159,120,86,"T"
17.0331906574257,66.372030437585,157,123,86,"T"
17.0204377906764,65.967769857498,154,124,87,"T"
17.0012134411799,66.0517780518673,162,123,84,"T"
17.0155293781798,66.0763803804746,156,124,86,"T"
16.9526140205279,61.8156398513017,189,189,183,"SB"
16.9717886484863,61.5712354711997,190,190,185,"SB"
16.9889746570015,61.9007073696152,191,189,188,"SB"
16.9472807451398,62.0385158190128,192,190,186,"SB"
16.9798046413873,62.3054359977389,186,190,181,"SB"
16.9560117438371,61.9233278925309,193,191,180,"SB"
16.9882487242294,61.9092376967922,192,188,182,"SB"
16.9838129872993,62.4845572047777,194,188,182,"SB"
16.9616114812497,61.7678859936358,193,190,183,"SB"
16.9673800422549,62.1272007204688,192,187,185,"SB"
